DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
06-Mar-2026,EQ,"1,339.00","1,357.60","1,310.40","1,357.60","1,315.10","1,313.40","1,322.85","1,500.00","1,204.15",22778852,"30,13,28,94,838.80",396209
05-Mar-2026,EQ,"1,368.90","1,370.80","1,347.60","1,365.40","1,353.30","1,357.60","1,356.94","1,500.00","1,204.15",17590491,"23,86,92,37,214.50",214379
04-Mar-2026,EQ,"1,326.00","1,376.00","1,326.00","1,374.00","1,368.50","1,365.40","1,355.31","1,500.00","1,204.15",20009132,"27,11,85,32,926.00",502432
02-Mar-2026,EQ,"1,355.00","1,379.20","1,355.00","1,378.90","1,374.80","1,374.00","1,369.59","1,500.00","1,204.15",16928683,"23,18,53,56,350.40",308886
27-Feb-2026,EQ,"1,400.00","1,402.20","1,376.70","1,404.90","1,379.40","1,378.90","1,385.66","1,500.00","1,200.10",15096898,"20,91,91,49,418.30",171296
26-Feb-2026,EQ,"1,405.10","1,410.00","1,392.10","1,400.50","1,401.60","1,404.90","1,403.62","1,500.00","1,200.10",27288792,"38,30,31,70,835.60",275171
25-Feb-2026,EQ,"1,391.80","1,407.40","1,388.20","1,384.80","1,398.10","1,400.50","1,399.92","1,500.00","1,200.10",16297015,"22,81,44,95,610.00",219690
24-Feb-2026,EQ,"1,400.90","1,400.90","1,382.30","1,399.40","1,385.50","1,384.80","1,388.50","1,500.00","1,200.10",18274784,"25,37,45,56,219.00",178572
23-Feb-2026,EQ,"1,400.00","1,408.30","1,395.30","1,394.50","1,399.00","1,399.40","1,400.86","1,500.00","1,200.10",10728445,"15,02,90,32,958.60",137169
20-Feb-2026,EQ,"1,388.50","1,403.70","1,384.00","1,388.80","1,394.00","1,394.50","1,396.03","1,500.00","1,200.10",10337877,"14,43,20,24,508.80",125352
19-Feb-2026,EQ,"1,408.50","1,412.30","1,384.80","1,408.20","1,388.70","1,388.80","1,394.99","1,500.00","1,200.10",14323091,"19,98,06,13,931.70",172043
18-Feb-2026,EQ,"1,410.10","1,412.30","1,398.90","1,407.50","1,406.00","1,408.20","1,403.95","1,500.00","1,200.10",4758071,"6,68,01,16,792.30",107958
17-Feb-2026,EQ,"1,406.20","1,413.60","1,393.60","1,411.60","1,405.00","1,407.50","1,404.65","1,500.00","1,200.10",11756187,"16,51,33,61,505.90",181342
16-Feb-2026,EQ,"1,404.00","1,414.00","1,400.50","1,414.60","1,413.00","1,411.60","1,408.85","1,500.00","1,200.10",5000042,"7,04,43,01,759.40",162024
13-Feb-2026,EQ,"1,425.30","1,434.40","1,410.70","1,430.00","1,415.50","1,414.60","1,417.70","1,500.00","1,200.10",12228083,"17,33,58,09,677.40",331274
12-Feb-2026,EQ,"1,406.10","1,433.00","1,405.30","1,406.10","1,432.00","1,430.00","1,426.52","1,500.00","1,200.10",19646265,"28,02,57,18,740.70",359078
