DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
06-Mar-2026,EQ,"2,572.00","2,619.20","2,553.60","2,578.80","2,560.00","2,557.60","2,581.54","3,710.00","2,546.40",3998643,"10,32,26,55,875.30",143599
05-Mar-2026,EQ,"2,600.00","2,609.50","2,546.40","2,587.80","2,575.00","2,578.80","2,567.95","3,710.00","2,546.40",2960636,"7,60,27,67,475.60",186527
04-Mar-2026,EQ,"2,625.00","2,635.00","2,580.40","2,613.50","2,583.00","2,587.80","2,598.18","3,710.00","2,561.30",3446434,"8,95,44,59,042.60",193409
02-Mar-2026,EQ,"2,592.00","2,623.80","2,580.30","2,637.40","2,611.70","2,613.50","2,606.37","3,710.00","2,561.30",3374385,"8,79,48,98,070.10",227265
27-Feb-2026,EQ,"2,681.60","2,688.60","2,626.10","2,647.70","2,639.70","2,637.40","2,644.90","3,763.20","2,561.30",5083717,"13,44,59,33,670.90",166737
26-Feb-2026,EQ,"2,650.00","2,671.00","2,635.00","2,629.30","2,649.00","2,647.70","2,649.37","3,763.20","2,561.30",3464267,"9,17,81,07,812.80",148371
25-Feb-2026,EQ,"2,596.00","2,654.20","2,595.00","2,573.70","2,629.00","2,629.30","2,632.16","3,763.20","2,561.30",3621285,"9,53,17,84,527.20",170312
24-Feb-2026,EQ,"2,641.00","2,647.50","2,561.30","2,676.30","2,581.00","2,573.70","2,586.99","3,763.20","2,561.30",7798833,"20,17,55,18,856.60",424406
23-Feb-2026,EQ,"2,686.00","2,704.00","2,660.20","2,686.20","2,674.00","2,676.30","2,675.99","3,763.20","2,585.00",4699596,"12,57,60,73,695.10",171914
20-Feb-2026,EQ,"2,667.00","2,702.60","2,647.50","2,677.90","2,685.00","2,686.20","2,684.40","3,934.00","2,585.00",2293482,"6,15,66,33,439.20",98725
