DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
24-Sep-2025,EQ,"952.20","956.45","943.00","957.20","951.00","951.05","949.21","2,037.70","940.00",15117220,"14,34,94,11,269.75",248417
23-Sep-2025,EQ,"967.00","968.20","955.50","964.20","958.45","957.20","960.10","2,037.70","940.00",21022298,"20,18,34,27,172.90",190721
22-Sep-2025,EQ,"964.00","971.20","961.95","966.90","965.40","964.20","966.40","2,037.70","940.00",10854415,"10,48,97,24,995.75",139126
19-Sep-2025,EQ,"974.90","976.70","962.10","976.90","967.00","966.90","967.22","2,037.70","940.00",31243267,"30,21,92,30,008.15",220137
18-Sep-2025,EQ,"973.30","979.65","969.25","966.50","976.00","976.90","974.66","2,037.70","940.00",17791598,"17,34,08,47,521.60",267040
17-Sep-2025,EQ,"965.15","974.40","964.35","966.85","967.00","966.50","968.39","2,037.70","940.00",17361476,"16,81,26,55,777.90",269236
16-Sep-2025,EQ,"961.20","969.35","961.20","967.05","966.30","966.85","966.32","2,037.70","940.00",18661794,"18,03,32,79,292.75",201920
15-Sep-2025,EQ,"969.60","972.35","965.00","967.30","966.10","967.05","968.58","2,037.70","940.00",14486377,"14,03,12,09,535.60",198502
12-Sep-2025,EQ,"969.90","970.75","962.25","967.80","966.90","967.30","966.65","2,037.70","940.00",14363519,"13,88,44,30,847.50",265851
11-Sep-2025,EQ,"960.30","969.25","959.90","965.90","966.50","967.80","965.95","2,037.70","940.00",15113633,"14,59,89,45,433.15",220801
10-Sep-2025,EQ,"973.90","973.90","961.70","965.15","965.50","965.90","966.21","2,037.70","940.00",18091100,"17,47,97,79,505.30",218336
09-Sep-2025,EQ,"974.00","974.40","962.70","966.00","966.45","965.15","967.81","2,037.70","940.00",13985539,"13,53,53,96,477.20",181800
08-Sep-2025,EQ,"969.00","973.15","960.45","963.40","967.35","966.00","967.58","2,037.70","940.00",11711307,"11,33,16,77,355.70",193535
